filename,image_url,mask_url
ISIC_0012810,data/raw/images/train/ISIC_0012810.jpg,data/raw/masks/train/ISIC_0012810_segmentation.png
ISIC_0009800,data/raw/images/train/ISIC_0009800.jpg,data/raw/masks/train/ISIC_0009800_segmentation.png
ISIC_0014162,data/raw/images/train/ISIC_0014162.jpg,data/raw/masks/train/ISIC_0014162_segmentation.png
ISIC_0000479,data/raw/images/train/ISIC_0000479.jpg,data/raw/masks/train/ISIC_0000479_segmentation.png
ISIC_0012228,data/raw/images/train/ISIC_0012228.jpg,data/raw/masks/train/ISIC_0012228_segmentation.png
ISIC_0015279,data/raw/images/train/ISIC_0015279.jpg,data/raw/masks/train/ISIC_0015279_segmentation.png
ISIC_0010262,data/raw/images/train/ISIC_0010262.jpg,data/raw/masks/train/ISIC_0010262_segmentation.png
ISIC_0011211,data/raw/images/train/ISIC_0011211.jpg,data/raw/masks/train/ISIC_0011211_segmentation.png
ISIC_0013167,data/raw/images/train/ISIC_0013167.jpg,data/raw/masks/train/ISIC_0013167_segmentation.png
ISIC_0015041,data/raw/images/train/ISIC_0015041.jpg,data/raw/masks/train/ISIC_0015041_segmentation.png
ISIC_0000012,data/raw/images/train/ISIC_0000012.jpg,data/raw/masks/train/ISIC_0000012_segmentation.png
ISIC_0015204,data/raw/images/train/ISIC_0015204.jpg,data/raw/masks/train/ISIC_0015204_segmentation.png
ISIC_0009954,data/raw/images/train/ISIC_0009954.jpg,data/raw/masks/train/ISIC_0009954_segmentation.png
ISIC_0008541,data/raw/images/train/ISIC_0008541.jpg,data/raw/masks/train/ISIC_0008541_segmentation.png
ISIC_0015994,data/raw/images/train/ISIC_0015994.jpg,data/raw/masks/train/ISIC_0015994_segmentation.png
ISIC_0012742,data/raw/images/train/ISIC_0012742.jpg,data/raw/masks/train/ISIC_0012742_segmentation.png
ISIC_0013219,data/raw/images/train/ISIC_0013219.jpg,data/raw/masks/train/ISIC_0013219_segmentation.png
ISIC_0013096,data/raw/images/train/ISIC_0013096.jpg,data/raw/masks/train/ISIC_0013096_segmentation.png
ISIC_0015614,data/raw/images/train/ISIC_0015614.jpg,data/raw/masks/train/ISIC_0015614_segmentation.png
ISIC_0013980,data/raw/images/train/ISIC_0013980.jpg,data/raw/masks/train/ISIC_0013980_segmentation.png
ISIC_0009297,data/raw/images/train/ISIC_0009297.jpg,data/raw/masks/train/ISIC_0009297_segmentation.png
ISIC_0012281,data/raw/images/train/ISIC_0012281.jpg,data/raw/masks/train/ISIC_0012281_segmentation.png
ISIC_0000108,data/raw/images/train/ISIC_0000108.jpg,data/raw/masks/train/ISIC_0000108_segmentation.png
ISIC_0001118,data/raw/images/train/ISIC_0001118.jpg,data/raw/masks/train/ISIC_0001118_segmentation.png
ISIC_0010010,data/raw/images/train/ISIC_0010010.jpg,data/raw/masks/train/ISIC_0010010_segmentation.png
ISIC_0013615,data/raw/images/train/ISIC_0013615.jpg,data/raw/masks/train/ISIC_0013615_segmentation.png
ISIC_0016045,data/raw/images/train/ISIC_0016045.jpg,data/raw/masks/train/ISIC_0016045_segmentation.png
ISIC_0012494,data/raw/images/train/ISIC_0012494.jpg,data/raw/masks/train/ISIC_0012494_segmentation.png
ISIC_0015044,data/raw/images/train/ISIC_0015044.jpg,data/raw/masks/train/ISIC_0015044_segmentation.png
ISIC_0010169,data/raw/images/train/ISIC_0010169.jpg,data/raw/masks/train/ISIC_0010169_segmentation.png
ISIC_0009956,data/raw/images/train/ISIC_0009956.jpg,data/raw/masks/train/ISIC_0009956_segmentation.png
ISIC_0010005,data/raw/images/train/ISIC_0010005.jpg,data/raw/masks/train/ISIC_0010005_segmentation.png
ISIC_0012395,data/raw/images/train/ISIC_0012395.jpg,data/raw/masks/train/ISIC_0012395_segmentation.png
ISIC_0010189,data/raw/images/train/ISIC_0010189.jpg,data/raw/masks/train/ISIC_0010189_segmentation.png
ISIC_0014938,data/raw/images/train/ISIC_0014938.jpg,data/raw/masks/train/ISIC_0014938_segmentation.png
ISIC_0015144,data/raw/images/train/ISIC_0015144.jpg,data/raw/masks/train/ISIC_0015144_segmentation.png
ISIC_0010576,data/raw/images/train/ISIC_0010576.jpg,data/raw/masks/train/ISIC_0010576_segmentation.png
ISIC_0014029,data/raw/images/train/ISIC_0014029.jpg,data/raw/masks/train/ISIC_0014029_segmentation.png
ISIC_0014543,data/raw/images/train/ISIC_0014543.jpg,data/raw/masks/train/ISIC_0014543_segmentation.png
ISIC_0014994,data/raw/images/train/ISIC_0014994.jpg,data/raw/masks/train/ISIC_0014994_segmentation.png
ISIC_0013333,data/raw/images/train/ISIC_0013333.jpg,data/raw/masks/train/ISIC_0013333_segmentation.png
ISIC_0000009,data/raw/images/train/ISIC_0000009.jpg,data/raw/masks/train/ISIC_0000009_segmentation.png
ISIC_0000004,data/raw/images/train/ISIC_0000004.jpg,data/raw/masks/train/ISIC_0000004_segmentation.png
ISIC_0000221,data/raw/images/train/ISIC_0000221.jpg,data/raw/masks/train/ISIC_0000221_segmentation.png
ISIC_0001212,data/raw/images/train/ISIC_0001212.jpg,data/raw/masks/train/ISIC_0001212_segmentation.png
ISIC_0000458,data/raw/images/train/ISIC_0000458.jpg,data/raw/masks/train/ISIC_0000458_segmentation.png
ISIC_0000100,data/raw/images/train/ISIC_0000100.jpg,data/raw/masks/train/ISIC_0000100_segmentation.png
ISIC_0012224,data/raw/images/train/ISIC_0012224.jpg,data/raw/masks/train/ISIC_0012224_segmentation.png
ISIC_0013053,data/raw/images/train/ISIC_0013053.jpg,data/raw/masks/train/ISIC_0013053_segmentation.png
ISIC_0000232,data/raw/images/train/ISIC_0000232.jpg,data/raw/masks/train/ISIC_0000232_segmentation.png
ISIC_0014103,data/raw/images/train/ISIC_0014103.jpg,data/raw/masks/train/ISIC_0014103_segmentation.png
ISIC_0011362,data/raw/images/train/ISIC_0011362.jpg,data/raw/masks/train/ISIC_0011362_segmentation.png
ISIC_0013365,data/raw/images/train/ISIC_0013365.jpg,data/raw/masks/train/ISIC_0013365_segmentation.png
ISIC_0012685,data/raw/images/train/ISIC_0012685.jpg,data/raw/masks/train/ISIC_0012685_segmentation.png
ISIC_0010370,data/raw/images/train/ISIC_0010370.jpg,data/raw/masks/train/ISIC_0010370_segmentation.png
ISIC_0009934,data/raw/images/train/ISIC_0009934.jpg,data/raw/masks/train/ISIC_0009934_segmentation.png
ISIC_0000492,data/raw/images/train/ISIC_0000492.jpg,data/raw/masks/train/ISIC_0000492_segmentation.png
ISIC_0009947,data/raw/images/train/ISIC_0009947.jpg,data/raw/masks/train/ISIC_0009947_segmentation.png
ISIC_0008807,data/raw/images/train/ISIC_0008807.jpg,data/raw/masks/train/ISIC_0008807_segmentation.png
ISIC_0009935,data/raw/images/train/ISIC_0009935.jpg,data/raw/masks/train/ISIC_0009935_segmentation.png
ISIC_0000000,data/raw/images/train/ISIC_0000000.jpg,data/raw/masks/train/ISIC_0000000_segmentation.png
ISIC_0009980,data/raw/images/train/ISIC_0009980.jpg,data/raw/masks/train/ISIC_0009980_segmentation.png
ISIC_0012348,data/raw/images/train/ISIC_0012348.jpg,data/raw/masks/train/ISIC_0012348_segmentation.png
ISIC_0000253,data/raw/images/train/ISIC_0000253.jpg,data/raw/masks/train/ISIC_0000253_segmentation.png
ISIC_0013274,data/raw/images/train/ISIC_0013274.jpg,data/raw/masks/train/ISIC_0013274_segmentation.png
ISIC_0014585,data/raw/images/train/ISIC_0014585.jpg,data/raw/masks/train/ISIC_0014585_segmentation.png
ISIC_0013709,data/raw/images/train/ISIC_0013709.jpg,data/raw/masks/train/ISIC_0013709_segmentation.png
ISIC_0013072,data/raw/images/train/ISIC_0013072.jpg,data/raw/masks/train/ISIC_0013072_segmentation.png
ISIC_0000203,data/raw/images/train/ISIC_0000203.jpg,data/raw/masks/train/ISIC_0000203_segmentation.png
ISIC_0012135,data/raw/images/train/ISIC_0012135.jpg,data/raw/masks/train/ISIC_0012135_segmentation.png
ISIC_0013832,data/raw/images/train/ISIC_0013832.jpg,data/raw/masks/train/ISIC_0013832_segmentation.png
ISIC_0010497,data/raw/images/train/ISIC_0010497.jpg,data/raw/masks/train/ISIC_0010497_segmentation.png
ISIC_0011112,data/raw/images/train/ISIC_0011112.jpg,data/raw/masks/train/ISIC_0011112_segmentation.png
ISIC_0014308,data/raw/images/train/ISIC_0014308.jpg,data/raw/masks/train/ISIC_0014308_segmentation.png
ISIC_0013249,data/raw/images/train/ISIC_0013249.jpg,data/raw/masks/train/ISIC_0013249_segmentation.png
ISIC_0000528,data/raw/images/train/ISIC_0000528.jpg,data/raw/masks/train/ISIC_0000528_segmentation.png
ISIC_0013118,data/raw/images/train/ISIC_0013118.jpg,data/raw/masks/train/ISIC_0013118_segmentation.png
ISIC_0000519,data/raw/images/train/ISIC_0000519.jpg,data/raw/masks/train/ISIC_0000519_segmentation.png
ISIC_0013816,data/raw/images/train/ISIC_0013816.jpg,data/raw/masks/train/ISIC_0013816_segmentation.png
ISIC_0014469,data/raw/images/train/ISIC_0014469.jpg,data/raw/masks/train/ISIC_0014469_segmentation.png
ISIC_0013227,data/raw/images/train/ISIC_0013227.jpg,data/raw/masks/train/ISIC_0013227_segmentation.png
ISIC_0012976,data/raw/images/train/ISIC_0012976.jpg,data/raw/masks/train/ISIC_0012976_segmentation.png
ISIC_0015212,data/raw/images/train/ISIC_0015212.jpg,data/raw/masks/train/ISIC_0015212_segmentation.png
ISIC_0013169,data/raw/images/train/ISIC_0013169.jpg,data/raw/masks/train/ISIC_0013169_segmentation.png
ISIC_0015941,data/raw/images/train/ISIC_0015941.jpg,data/raw/masks/train/ISIC_0015941_segmentation.png
ISIC_0016065,data/raw/images/train/ISIC_0016065.jpg,data/raw/masks/train/ISIC_0016065_segmentation.png
ISIC_0000506,data/raw/images/train/ISIC_0000506.jpg,data/raw/masks/train/ISIC_0000506_segmentation.png
ISIC_0000038,data/raw/images/train/ISIC_0000038.jpg,data/raw/masks/train/ISIC_0000038_segmentation.png
ISIC_0008294,data/raw/images/train/ISIC_0008294.jpg,data/raw/masks/train/ISIC_0008294_segmentation.png
ISIC_0012253,data/raw/images/train/ISIC_0012253.jpg,data/raw/masks/train/ISIC_0012253_segmentation.png
ISIC_0000020,data/raw/images/train/ISIC_0000020.jpg,data/raw/masks/train/ISIC_0000020_segmentation.png
ISIC_0010216,data/raw/images/train/ISIC_0010216.jpg,data/raw/masks/train/ISIC_0010216_segmentation.png
ISIC_0010591,data/raw/images/train/ISIC_0010591.jpg,data/raw/masks/train/ISIC_0010591_segmentation.png
ISIC_0001131,data/raw/images/train/ISIC_0001131.jpg,data/raw/masks/train/ISIC_0001131_segmentation.png
ISIC_0013867,data/raw/images/train/ISIC_0013867.jpg,data/raw/masks/train/ISIC_0013867_segmentation.png
ISIC_0006350,data/raw/images/train/ISIC_0006350.jpg,data/raw/masks/train/ISIC_0006350_segmentation.png
ISIC_0000040,data/raw/images/train/ISIC_0000040.jpg,data/raw/masks/train/ISIC_0000040_segmentation.png
ISIC_0012865,data/raw/images/train/ISIC_0012865.jpg,data/raw/masks/train/ISIC_0012865_segmentation.png
ISIC_0000386,data/raw/images/train/ISIC_0000386.jpg,data/raw/masks/train/ISIC_0000386_segmentation.png
ISIC_0015018,data/raw/images/train/ISIC_0015018.jpg,data/raw/masks/train/ISIC_0015018_segmentation.png
ISIC_0000439,data/raw/images/train/ISIC_0000439.jpg,data/raw/masks/train/ISIC_0000439_segmentation.png
ISIC_0014526,data/raw/images/train/ISIC_0014526.jpg,data/raw/masks/train/ISIC_0014526_segmentation.png
ISIC_0009950,data/raw/images/train/ISIC_0009950.jpg,data/raw/masks/train/ISIC_0009950_segmentation.png
ISIC_0014284,data/raw/images/train/ISIC_0014284.jpg,data/raw/masks/train/ISIC_0014284_segmentation.png
ISIC_0000187,data/raw/images/train/ISIC_0000187.jpg,data/raw/masks/train/ISIC_0000187_segmentation.png
ISIC_0012945,data/raw/images/train/ISIC_0012945.jpg,data/raw/masks/train/ISIC_0012945_segmentation.png
ISIC_0012682,data/raw/images/train/ISIC_0012682.jpg,data/raw/masks/train/ISIC_0012682_segmentation.png
ISIC_0000214,data/raw/images/train/ISIC_0000214.jpg,data/raw/masks/train/ISIC_0000214_segmentation.png
ISIC_0015057,data/raw/images/train/ISIC_0015057.jpg,data/raw/masks/train/ISIC_0015057_segmentation.png
ISIC_0000054,data/raw/images/train/ISIC_0000054.jpg,data/raw/masks/train/ISIC_0000054_segmentation.png
ISIC_0014089,data/raw/images/train/ISIC_0014089.jpg,data/raw/masks/train/ISIC_0014089_segmentation.png
ISIC_0000131,data/raw/images/train/ISIC_0000131.jpg,data/raw/masks/train/ISIC_0000131_segmentation.png
ISIC_0014169,data/raw/images/train/ISIC_0014169.jpg,data/raw/masks/train/ISIC_0014169_segmentation.png
ISIC_0012159,data/raw/images/train/ISIC_0012159.jpg,data/raw/masks/train/ISIC_0012159_segmentation.png
ISIC_0010081,data/raw/images/train/ISIC_0010081.jpg,data/raw/masks/train/ISIC_0010081_segmentation.png
ISIC_0015219,data/raw/images/train/ISIC_0015219.jpg,data/raw/masks/train/ISIC_0015219_segmentation.png
ISIC_0014778,data/raw/images/train/ISIC_0014778.jpg,data/raw/masks/train/ISIC_0014778_segmentation.png
ISIC_0000355,data/raw/images/train/ISIC_0000355.jpg,data/raw/masks/train/ISIC_0000355_segmentation.png
ISIC_0013917,data/raw/images/train/ISIC_0013917.jpg,data/raw/masks/train/ISIC_0013917_segmentation.png
ISIC_0000132,data/raw/images/train/ISIC_0000132.jpg,data/raw/masks/train/ISIC_0000132_segmentation.png
ISIC_0011085,data/raw/images/train/ISIC_0011085.jpg,data/raw/masks/train/ISIC_0011085_segmentation.png
ISIC_0014299,data/raw/images/train/ISIC_0014299.jpg,data/raw/masks/train/ISIC_0014299_segmentation.png
ISIC_0012828,data/raw/images/train/ISIC_0012828.jpg,data/raw/masks/train/ISIC_0012828_segmentation.png
ISIC_0015986,data/raw/images/train/ISIC_0015986.jpg,data/raw/masks/train/ISIC_0015986_segmentation.png
ISIC_0015255,data/raw/images/train/ISIC_0015255.jpg,data/raw/masks/train/ISIC_0015255_segmentation.png
ISIC_0012102,data/raw/images/train/ISIC_0012102.jpg,data/raw/masks/train/ISIC_0012102_segmentation.png
ISIC_0013136,data/raw/images/train/ISIC_0013136.jpg,data/raw/masks/train/ISIC_0013136_segmentation.png
ISIC_0014697,data/raw/images/train/ISIC_0014697.jpg,data/raw/masks/train/ISIC_0014697_segmentation.png
ISIC_0015568,data/raw/images/train/ISIC_0015568.jpg,data/raw/masks/train/ISIC_0015568_segmentation.png
